bid,cover,title,author,publisher,abstract,price
44,https://up.bookresource.net/up/a2/17/7b/0b7fc295c705866fd4fa5ce1ab7b17a2.jpg,学习的科学,爱德华·D.赫斯,中国青年出版社,"《学习的科学》讲的是如何学习，从个人和组织的角度审视了学习过程和学习方法。
《学习的科学》将神经科学、心理学、行为经济学和高效企业的*案列相结合，打造了一幅极具操作性的学习路线图。",25.9
45,https://up.bookresource.net/up/64/f6/a9/2b1a8fcffb132430c19870d9cfa9f664.jpg,小鸟游乐园(精),(日)立本伦子|译者,现代,立本伦子的《小鸟游乐园（精）》是一本适合4－6岁儿童阅读的绘本。森林的入口处住着一个小姑娘。一天，她在花丛中发现了一只从鸟巢里掉了下来的小鸟。小女孩把小鸟带回了家，百般呵护。可是妈妈说，等小鸟能飞的时候，就应该放它回森林。小女孩很舍不得，难过得流下了眼泪，究竟小鸟有没有回到属于自己的森林呢？,17.1
46,https://up.bookresource.net/up/21/0c/74/fc506eebe09867291b754a03ce740c21.jpg,教养的迷思,[美] 朱迪斯·哈里斯,上海译文出版社,"《教养的迷思》是乔治?米勒奖（美国心理学会颁予的杰出心理学作家奖）获奖者朱迪斯?哈里斯的代表作。
斯蒂芬?平克、查理?芒格、梁文道等皆推荐过这位与众不同的心理学作家。
传统心理学观点认为父母在对孩子的塑造中扮演着影响深远的角色，但是朱迪斯?哈里斯质疑这个传统观念。",15.1
47,https://up.bookresource.net/up/07/d0/c3/1495b5f854308cf61b57563541c3d007.jpg,叛逆不是孩子的错,（美）杰弗里?伯恩斯坦（Jeffrey Bernstein),机械工业出版社,"你正在因为孩子的叛逆而抓狂吗？？
孩子不听话，喜欢挑战你的权威和耐心
让他干什么偏不做，凡事都和你对着干
爱生气、情绪化、固执极端、粗鲁无礼",49.1
48,https://up.bookresource.net/up/4a/ef/c8/18e44c62b7783276bbde37073ec8ef4a.jpg,大忙人这样陪孩子，半小时胜过一整天,[英]雷?伯克博士 / [英]罗恩?赫伦 / [英]布丽奇特?巴恩斯,江苏教育出版社,"《大忙人这样陪孩子,半小时胜过一整天》内容简介：工作越来越忙，陪孩子的时间越来越少，孩子跟您越来越疏远，其实，只要掌握陪伴技巧，大忙人也能事半功倍，轻松教出乐观、自信的孩子。《大忙人这样陪孩子,半小时胜过一整天》专为大忙人设计，《大忙人这样陪孩子,半小时胜过一整天》的方法科学、简单、易操作。用这样的方法陪孩子，大忙人的陪伴质量立刻提升：1.每次只讲一件事，千万别跟孩子的气话较真：孩子说气话时，您一定要始终围绕主题进行教育。如果孩子真想和你谈点别的，那你可以让他在主要问题（即他的不当行为）谈完后再提出来。2.全家在一起时，多加点有趣、好玩的元素：当着家人的面表扬孩子，能轻松让孩子明白家人很看重他，这样，孩子会更乐意保持自己的好行为，即使没人“监控”，也能表现好。",40.7
49,https://up.bookresource.net/up/b7/b8/05/7803a638b3a28c0c59d0cf7e9805b8b7.jpg,中国幼儿教育史,杜成宪 / 王伦信,上海教育出版社,《中国幼儿教育史》内容简介：该教材由上海市教育委员会师资处组织编写，供幼儿园在职教师进修成人高等师范专科学前教育专业使用。设置幼儿园在职教师进修成人高等师范专科学前教育专业是以中国教育“面向现代化、面向世界、面向未来”为指导，旨在全面提高幼儿园教师的思想政治、职业道德、专业知识、教育理论、教育教学能力、教育教学研究能力等素质，建立一支适应二十一世纪基础教育改革发展和需要的新型的幼儿园师资队伍。,39.6
50,https://up.bookresource.net/up/72/3a/7f/20cd14202edbc4290a7acc204d7f3a72.jpg,如何活出生命的意义,［美］杰西?贝林,中国友谊出版公司,信仰是一种本能吗？《如何活出生命的意义》围绕人的心智模式的发展来解读，人不同于其他动物所具有的一些现象，如人为什么喜欢在大事前祈祷？人什么宁愿相信自己的亲人去世后是到了一个幸福的天堂？人们为何会具有这些信念？这些问题都是人的思维和意识的产物。而《如何活出生命的意义》，则是对于人的信念、信仰这一问题的科学的解读。本书要谈的不是宗教，也不是有神、无神的论辩，而是一场综合心理学、哲学与流行文化的盛宴。藉由贝林深刻而机智的引导，我们将获得关于人类脑部与心理机制的全新视野，同时开启一场新颖、有趣、充满智慧与幽默的思考旅程！,49.1
51,https://up.bookresource.net/up/c7/d8/18/196c47d3a1cf5359d9d51c6af118d8c7.jpg,石头剪刀布博弈心理学,[日]木瓜制造,湖南文艺出版社,"石头剪刀布并非纯碰运气的游戏。事实上，跟下棋或打“超级玛丽”一样，石头剪刀布也是一种靠策略、观察和智慧取胜的博弈。
博弈心理学已成为顶尖企业、顶尖人士经常采用的制胜的秘密武器，例如“三得利”忠实于博弈心理学，采用了“价格不变策略”，在自从有啤酒销售数据统计以来的第16年第一次在市场份额上成功超越札幌啤酒；日本的“软银集团”从零开始涉足移动通信业务，利用博弈心理学进行合理思考，采用了一系列积极进攻的手段，成功牵制了竞争对手——日本电信巨头DoCoMo。",53.2
52,https://up.bookresource.net/up/1d/e6/71/4d9ec54ffc0012615e6bc2595171e61d.jpg,登天的感觉：我在哈佛大学做心理咨询,岳晓东,北京联合出版公司,"【编辑推荐】
美国哈佛大学心理学博士岳晓东经典作品白金版
高校心理学系、国内心理咨询培训机构推荐必读书目
畅销20年，新增5万字内容
中国心理咨询师人人必读！",22.4
53,https://up.bookresource.net/up/65/4e/18/8366b75ce6ed74f7592c639a1c184e65.jpg,幼儿生理和心理发育的故事,王勇,人民邮电出版社,本书讲的是0到6岁幼儿生理和心理发育的故事。和世面上流行的家教育儿图书相比，这本书显得很特别。它不侧重传播爱心和技巧，而是带领读者走入幼儿的内心世界。,11.6
54,https://up.bookresource.net/up/14/26/f6/b1ea15d7f4d2e0bcd813e12ae0f62614.jpg,十分钟冥想,［英］安迪·普迪科姆（Andy Puddicombe),机械工业出版社,许多人听说过冥想的诸多益处，如减轻压力、抑郁和焦虑，提升专注力、记忆力和创造力，改善睡眠，戒掉各种瘾，缓解身体疼痛，增强免疫力等，而且这些益处都得到了科学的证明。,25.6
55,https://up.bookresource.net/up/56/df/05/283abf655ccbc3dc9f885ba7c405df56.jpg,心理自愈术,库埃,中华工商联合出版社,《心理自愈术:做自己的心理医生》是法国著名心理学家埃米尔?库埃的旷世之作，它不仅系统的介绍了不同类型的心理障碍产生的原因，而且还告知读者如何使用相应的方法来治愈我们内心的疾病。这是一本能切实帮你重塑自我、安顿身心的实用心理学书籍，它能够消除你内心的忧虑，满足你内心深处的渴望。《心理自愈术:做自己的心理医生》选取了生活中常见的自卑心理、自恋心理、抑郁心理、恐惧心理、焦虑心理、报复心理、强迫心理以及神经性设施障碍，分别从是什么、为什么、怎么样的方式，深入浅出地分析了心理障碍产生的原因以及自我治愈的方法，语言质朴平实，道理浅显易懂，方法简单易学，是不可多得的实用心理类书籍。,57.6
56,https://up.bookresource.net/up/09/48/75/1298504e6e6eafb83e7f6f9e38754809.jpg,游戏力:激发孩子内在的自信力,"[美]劳伦斯·科恩（Lawrence J. Cohen, Ph.D.）",军事谊文出版社,"本书的重点，是解决常见的行为问题，激发孩子内在的自信力，并重建父母与孩子间亲密沟通的桥梁。
游戏力，被很多人喻为亲子沟通的“双向翻译机”。",59.6
57,https://up.bookresource.net/up/ed/a5/64/5ec48542598c26448c06d28d8864a5ed.jpg,提高记忆的100种方法,王小军,中国法制出版社,记忆属于心理学的范畴，是人类进行思维、想象、逻辑推理等高级心理活动的基础，是心智活动的一种，与人类其他的心理活动有着密切的联系，能够让人们维持正常的学习、工作、社交、生活等基本机能。本书运用简洁生动的语言，结合生活实例，列举了100种提高记忆的方法，详细介绍了这些记忆方法的科学原理、运用方式，并穿插部分心理学实验案例。内容专业、丰富，具有较强的阅读性和出版价值。,56
58,https://up.bookresource.net/up/d6/d5/39/b334c60ae0e3f04ba767681aac39d5d6.jpg,教育+技术的跨界研究经验:学习的升级,（美）约翰?库奇 / （美）贾森?汤 / 栗浩洋,湛庐文化/浙江人民出版社,当下教育面临的最大问题之一，就是教育者仍然在用过时的、非数字时代的方式，去教育伴随数字化长大的孩子。所以，摆在教育者和家长面前最急迫的问题就是：如何利用技术和对学习的研究，去创造个性化学习体验，以更好地满足学生的需求。,51.2
